date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2024-08-12 00:00:00+00:00,2024-08-12 10:30:00+00:00,1,clean_lo,59088.33,58100.06,988.2700000000041,58346.3,58541.75,195.4499999999971,58710.01,58300.7703377279,59528.4893245442,409.23966227209894,303.5310818140126,True,,2024-08-12 11:15:00+00:00,818.4793245441979,2.0,0,2024
2024-08-28 00:00:00+00:00,2024-08-28 10:00:00+00:00,1,clean_lo,59661.0,58917.12,743.8799999999974,59562.69,59822.07,259.3799999999974,59985.0,59521.63511116144,60911.729777677116,463.3648888385578,273.6992589237204,False,,2024-08-28 13:45:00+00:00,175.0,0.3776721202131744,2,2024
2024-09-06 00:00:00+00:00,2024-09-06 12:45:00+00:00,1,clean_lo,56858.88,55989.0,869.8799999999974,56120.01,56435.1,315.0899999999965,56873.99,56077.51754937097,58466.93490125806,796.4724506290295,283.2830041935334,False,,2024-09-06 13:30:00+00:00,134.01000000000204,0.16825440716017867,4,2024
2024-10-01 00:00:00+00:00,2024-10-01 13:45:00+00:00,-1,clean_hi,64097.03,63006.7,1090.3300000000017,62960.0,63380.0,420.0,62866.8,63411.296521536286,61777.80695692744,544.4965215362827,208.64347690856778,True,,2024-10-01 17:15:00+00:00,1088.9930430725653,2.0,1,2024
2024-11-14 00:00:00+00:00,2024-11-14 10:00:00+00:00,1,both,90566.0,89283.5,1282.5,90680.98,90855.4,174.41999999999825,91268.91,90609.98060599204,92586.76878801594,658.929394007966,473.32929338635995,False,,2024-11-14 11:00:00+00:00,147.5899999999965,0.2239845442351176,3,2024
2024-11-18 00:00:00+00:00,2024-11-18 11:15:00+00:00,-1,clean_hi,92079.3,89617.96,2461.3399999999965,91317.24,91757.57,440.33000000000175,90961.95,91809.17552265277,89267.49895469444,847.2255226527777,344.0368176850837,False,,2024-11-18 15:30:00+00:00,1585.050000000003,1.8708714003763685,0,2024
2024-12-17 00:00:00+00:00,2024-12-17 15:15:00+00:00,-1,clean_hi,107000.0,105657.34,1342.6600000000035,106954.28,107721.8,767.5200000000041,106042.22,107789.28729401322,102548.08541197356,1747.0672940132208,449.9152934214548,False,,2024-12-17 20:00:00+00:00,316.2299999999959,0.1810061931121028,1,2024
2024-12-19 00:00:00+00:00,2024-12-19 12:45:00+00:00,-1,clean_hi,101415.25,98802.0,2613.25,102108.2,102276.01,167.80999999999767,101988.0,102318.89259886058,101326.21480227885,330.892598860577,285.88399240391317,False,,2024-12-19 14:00:00+00:00,321.0,0.9701032936528591,3,2024
2024-12-21 00:00:00+00:00,2024-12-21 12:45:00+00:00,-1,clean_hi,98837.49,97188.09,1649.4000000000087,97683.24,97849.7,166.45999999999185,97131.99,97904.17896952767,95587.61206094468,772.1889695276623,363.1931301844438,False,,2024-12-21 20:00:00+00:00,733.6000000000058,0.9500265206439548,5,2024
2025-01-01 00:00:00+00:00,2025-01-01 12:30:00+00:00,1,clean_lo,94509.42,93489.03,1020.3899999999994,93511.37,93768.0,256.63000000000466,93782.5,93478.80601441633,94389.88797116734,303.6939855836681,217.09323722438975,True,,2025-01-01 14:00:00+00:00,607.3879711673362,2.0,2,2025
2025-01-10 00:00:00+00:00,2025-01-10 13:45:00+00:00,-1,clean_hi,94319.0,92431.73,1887.270000000004,93916.75,94733.49,816.7400000000052,93557.23,94797.10441421012,91077.48117157976,1239.8744142101204,424.0960947340635,False,,2025-01-10 17:45:00+00:00,1351.2099999999919,1.0897958571560646,4,2025
2025-01-18 00:00:00+00:00,2025-01-18 11:45:00+00:00,1,clean_lo,104656.87,102666.55,1990.3199999999924,103387.96,103567.52,179.55999999999767,103589.29,103332.12485856692,104103.62028286613,257.16514143306995,372.23427622057784,False,,2025-01-18 13:00:00+00:00,445.99000000000524,1.7342552630371912,5,2025
2025-02-12 00:00:00+00:00,2025-02-12 13:45:00+00:00,-1,clean_hi,96263.99,95100.0,1163.9900000000052,95231.2,95962.23,731.0299999999988,94975.38,96024.74000652359,92876.65998695284,1049.3600065235805,416.73337682390184,False,,2025-02-12 16:45:00+00:00,475.38000000000466,0.4530189801828723,2,2025
2025-02-21 00:00:00+00:00,2025-02-21 15:30:00+00:00,-1,clean_hi,98505.0,98084.06,420.9400000000023,98227.16,98608.0,380.8399999999965,97600.6,98675.43207146018,95450.93585707966,1074.8320714601723,449.5471430678957,False,,2025-02-21 16:15:00+00:00,177.07000000000698,0.16474201384729362,4,2025
2025-04-04 00:00:00+00:00,2025-04-04 10:15:00+00:00,-1,clean_hi,83413.46,82577.63,835.8300000000017,83794.87,84444.58,649.7100000000064,82924.0,84499.65085738369,79772.69828523262,1575.650857383691,367.1390492246004,False,,2025-04-04 17:45:00+00:00,1265.0,0.8028428341672628,4,2025
2025-04-07 00:00:00+00:00,2025-04-07 10:15:00+00:00,1,clean_lo,79347.46,74555.0,4792.460000000006,76792.0,76958.95,166.9499999999971,77241.09,76694.63942173138,78333.99115653723,546.4505782686174,649.0705217907768,False,,2025-04-07 11:30:00+00:00,298.9100000000035,0.5470028066345444,0,2025
2025-04-15 00:00:00+00:00,2025-04-15 15:45:00+00:00,-1,clean_hi,85879.1,84347.97,1531.1300000000047,84928.48,85166.0,237.52000000000407,84918.14,85218.29447238405,84317.8310552319,300.15447238404886,348.6298158936156,True,,2025-04-15 18:15:00+00:00,600.3089447680977,2.0,1,2025
2025-04-23 00:00:00+00:00,2025-04-23 10:15:00+00:00,-1,clean_hi,93909.05,92580.18,1328.87000000001,93688.48,93888.52,200.04000000000815,93638.1,93933.98159204665,93046.33681590672,295.8815920466441,303.0772803109408,False,,2025-04-23 13:00:00+00:00,313.65000000000873,1.060052427832562,2,2025
2025-05-02 00:00:00+00:00,2025-05-02 14:45:00+00:00,1,clean_lo,97309.78,96466.21,843.5699999999924,97188.68,97369.84,181.1600000000035,97748.4,97143.83599156451,98957.52801687096,604.5640084354818,298.96005623651865,False,,2025-05-02 15:15:00+00:00,142.79000000000815,0.23618673623910658,4,2025
2025-05-12 00:00:00+00:00,2025-05-12 12:00:00+00:00,-1,clean_hi,105086.42,103702.15,1384.270000000004,103952.39,104160.0,207.61000000000058,103945.04,104206.22716564493,103422.66566871012,261.1871656449366,308.1811042995458,False,,2025-05-12 13:00:00+00:00,149.0399999999936,0.5706252818050093,0,2025
2025-05-15 00:00:00+00:00,2025-05-15 11:15:00+00:00,1,clean_lo,103866.51,102140.0,1726.5099999999948,101840.96,102053.79,212.8299999999872,102281.31,101802.30692036016,103239.31615927967,479.00307963983505,257.687197598995,False,,2025-05-15 13:45:00+00:00,557.5100000000093,1.1638964835449577,3,2025
2025-05-20 00:00:00+00:00,2025-05-20 15:30:00+00:00,1,clean_lo,106853.27,105381.02,1472.25,104800.0,105029.36,229.36000000000058,105119.99,104754.87449523107,105850.22100953788,365.115504768939,300.83669845959463,True,,2025-05-20 17:00:00+00:00,730.231009537878,2.0,1,2025
2025-05-29 00:00:00+00:00,2025-05-29 13:45:00+00:00,-1,clean_hi,108484.61,106948.01,1536.6000000000058,107894.22,108185.92,291.6999999999971,107601.08,108227.85296583579,106347.53406832843,626.7729658357857,279.55310557190114,True,,2025-05-29 17:30:00+00:00,1253.5459316715715,2.0,3,2025
2025-06-03 00:00:00+00:00,2025-06-03 14:30:00+00:00,1,clean_lo,106500.0,105116.2,1383.800000000003,105555.51,105782.5,226.99000000000524,106336.01,105519.66921876288,107968.69156247423,816.3407812371152,238.93854158076203,False,,2025-06-03 20:00:00+00:00,458.6600000000035,0.561848691798702,1,2025
2025-06-08 00:00:00+00:00,2025-06-08 10:45:00+00:00,1,clean_lo,105786.33,105394.03,392.3000000000029,105091.79,105349.95,258.1600000000035,105357.64,105073.0399853636,105926.84002927279,284.6000146363949,125.00009757591215,True,,2025-06-08 13:45:00+00:00,569.2000292727898,2.0,6,2025
